Date,Jakarta,Jawa Barat,Jawa Tengah
01/04/2021,1354,1373,270
02/04/2021,1470,890,198
03/04/2021,1014,971,499
04/04/2021,384,1014,594
05/04/2021,965,634,535
06/04/2021,1337,461,798
07/04/2021,1240,350,570
08/04/2021,1098,923,281
09/04/2021,736,820,206
10/04/2021,523,927,741
11/04/2021,487,604,860
12/04/2021,862,959,717
13/04/2021,1238,1109,840
14/04/2021,1013,763,669
15/04/2021,977,1203,520
16/04/2021,1031,1324,398
17/04/2021,692,1546,683
18/04/2021,828,1353,686
19/04/2021,661,972,675
20/04/2021,1330,894,605
21/04/2021,980,882,376
22/04/2021,1037,1295,319
23/04/2021,950,1415,247
24/04/2021,973,1012,646
25/04/2021,460,1332,356
26/04/2021,602,1046,227
27/04/2021,1266,753,585
28/04/2021,884,869,405
29/04/2021,907,1611,202
30/04/2021,896,1231,178
01/05/2021,748,1350,540
02/05/2021,394,1157,382
03/05/2021,639,1121,544
04/05/2021,987,782,372
05/05/2021,789,710,535
06/05/2021,926,1179,138
07/05/2021,854,909,139
08/05/2021,757,979,857
09/05/2021,416,1056,546
10/05/2021,845,1929,116
11/05/2021,906,2263,480
12/05/2021,783,516,165
13/05/2021,732,1020,251
14/05/2021,809,1410,349
15/05/2021,694,786,689
16/05/2021,406,413,575
17/05/2021,656,594,415
18/05/2021,785,749,576
19/05/2021,632,847,672
20/05/2021,227,1290,514
21/05/2021,161,1102,367
22/05/2021,421,1230,933
23/05/2021,219,1315,712
24/05/2021,611,1083,550
25/05/2021,895,1067,713
26/05/2021,856,1048,686
27/05/2021,932,1293,1079
28/05/2021,867,1057,1019
29/05/2021,819,772,921
30/05/2021,384,1268,866
31/05/2021,617,1165,803
01/06/2021,940,964,747
02/06/2021,602,749,955
03/06/2021,898,1185,1090
04/06/2021,1064,950,886
05/06/2021,726,878,1596
06/06/2021,519,1220,1606
07/06/2021,602,1051,1588
08/06/2021,715,1056,1718
09/06/2021,906,946,1235
10/06/2021,1317,1688,1036
11/06/2021,1019,1119,2686
12/06/2021,1197,1463,1849
13/06/2021,755,1382,2191
14/06/2021,1376,1305,1823
15/06/2021,2091,974,1913
16/06/2021,2293,1379,1635
17/06/2021,2455,1510,2094
18/06/2021,2769,1968,1955
19/06/2021,2722,2648,3392
20/06/2021,1502,2571,2416
21/06/2021,2376,3030,2329
22/06/2021,4144,1949,3058
23/06/2021,4737,2309,1646
24/06/2021,4894,3091,1886
25/06/2021,5582,3293,1813
26/06/2021,5014,3063,1809
27/06/2021,3220,3190,2924
28/06/2021,4693,3985,2531
29/06/2021,7505,3930,2779
30/06/2021,6934,4501,2702
